county,forecast_time,predicted_aqi
南投縣,2026-08-24 05:00:00,17.98
南投縣,2026-08-24 06:00:00,18.1
南投縣,2026-08-24 07:00:00,19.08
南投縣,2026-08-24 08:00:00,19.62
南投縣,2026-08-24 09:00:00,20.83
南投縣,2026-08-24 10:00:00,21.95
南投縣,2026-08-24 11:00:00,23.12
南投縣,2026-08-24 12:00:00,24.04
南投縣,2026-08-24 13:00:00,26.2
南投縣,2026-08-24 14:00:00,27.6
南投縣,2026-08-24 15:00:00,29.5
南投縣,2026-08-24 16:00:00,29.88
南投縣,2026-08-24 17:00:00,31.15
南投縣,2026-08-24 18:00:00,32.02
南投縣,2026-08-24 19:00:00,30.69
南投縣,2026-08-24 20:00:00,31.34
南投縣,2026-08-24 21:00:00,30.8
南投縣,2026-08-24 22:00:00,29.49
南投縣,2026-08-24 23:00:00,28.03
南投縣,2026-08-25 00:00:00,27.03
南投縣,2026-08-25 01:00:00,27.06
南投縣,2026-08-25 02:00:00,27.08
南投縣,2026-08-25 03:00:00,27.08
南投縣,2026-08-25 04:00:00,27.06
嘉義市,2026-08-24 05:00:00,22.02
嘉義市,2026-08-24 06:00:00,22.01
嘉義市,2026-08-24 07:00:00,22.85
嘉義市,2026-08-24 08:00:00,23.05
嘉義市,2026-08-24 09:00:00,23.77
嘉義市,2026-08-24 10:00:00,24.24
嘉義市,2026-08-24 11:00:00,25.33
嘉義市,2026-08-24 12:00:00,26.32
嘉義市,2026-08-24 13:00:00,27.67
嘉義市,2026-08-24 14:00:00,29.5
嘉義市,2026-08-24 15:00:00,29.9
嘉義市,2026-08-24 16:00:00,31.19
嘉義市,2026-08-24 17:00:00,31.73
嘉義市,2026-08-24 18:00:00,31.55
嘉義市,2026-08-24 19:00:00,31.72
嘉義市,2026-08-24 20:00:00,31.22
嘉義市,2026-08-24 21:00:00,30.81
嘉義市,2026-08-24 22:00:00,29.49
嘉義市,2026-08-24 23:00:00,28.03
嘉義市,2026-08-25 00:00:00,27.03
嘉義市,2026-08-25 01:00:00,27.06
嘉義市,2026-08-25 02:00:00,27.09
嘉義市,2026-08-25 03:00:00,27.13
嘉義市,2026-08-25 04:00:00,27.07
嘉義縣,2026-08-24 05:00:00,26.96
嘉義縣,2026-08-24 06:00:00,28.37
嘉義縣,2026-08-24 07:00:00,28.21
嘉義縣,2026-08-24 08:00:00,28.71
嘉義縣,2026-08-24 09:00:00,29.72
嘉義縣,2026-08-24 10:00:00,30.74
嘉義縣,2026-08-24 11:00:00,31.29
嘉義縣,2026-08-24 12:00:00,31.22
嘉義縣,2026-08-24 13:00:00,31.47
嘉義縣,2026-08-24 14:00:00,31.77
嘉義縣,2026-08-24 15:00:00,31.05
嘉義縣,2026-08-24 16:00:00,31.98
嘉義縣,2026-08-24 17:00:00,31.51
嘉義縣,2026-08-24 18:00:00,31.94
嘉義縣,2026-08-24 19:00:00,31.26
